<doc id="edoc_wd_1766-04-09" attrs="word" year="1766" month="04" day="09" corpus="1">
<head id="hl1">
Staatssachen	w49
in	w7084
tiefer	w7085
Trauer	w7086
<g/>
,
mit	w7088
überzogenen	w7089
Partisanen	w7090
<g/>
,
die	w7092
sie	w7093
verkehret	w7094
trugen	w7095
<g/>
.
44	w7097
<g/>
)
Der	w7099
Hr	w7100
<g/>
.
Hofmar=schall	w7102
<g/>
=
<g/>
,
Graf	w7105
von	w7106
Moltke	w7107
<g/>
,
zu	w7109
Pferde	w7110
<g/>
,
mit	w7112
bezognen	w7113
Marschllastabe	w7114
<g/>
,
und	w7116
hinter	w7117
dem=selben	w7118
<g/>
=
ein	w7120
Haufen	w7121
von	w7122
40	w7123
<g/>
.
Rangspersonen	w7125
<g/>
.
45	w7127
<g/>
)
Se	w7129
<g/>
.
Königl	w7131
<g/>
.
Majestät	w7133
<g/>
,
deren	w7135
lan=ge	w7136
<g/>
=
Schleppe	w7138
von	w7139
dem	w7140
Herrn	w7141
Oberkam=merer	w7142
<g/>
=
getragen	w7144
war	w7145
<g/>
,
wurden	w7147
von	w7148
dem	w7149
Herrn	w7150
Oberhofmarschall	w7151
und	w7152
dem	w7153
Herrn	w7154
Oberceremonienmeister	w7155
zum	w7156
Wagen	w7157
begleitet	w7158
<g/>
.
Voran	w7160
ritte	w7161
Sr	w7162
<g/>
.
Majestät	w7164
Kammerpage	w7165
und	w7166
Leibdiener	w7167
<g/>
,
und	w7169
zwölf	w7170
<g/>
.
Personen	w7172
der	w7173
Königl	w7174
<g/>
.
Liberey	w7176
giengen	w7177
daselbst	w7178
mit	w7179
Fackeln	w7180
<g/>
.
Zunächst	w7182
an	w7183
den	w7184
Seiten	w7185
des	w7186
Wagens	w7187
gien=gen	w7188
<g/>
=
2	w7190
<g/>
.
Heyducken	w7192
<g/>
,
und	w7194
neben	w7195
denselben	w7196
12	w7197
<g/>
.
Trabantendienste	w7199
verrichtende	w7200
Premierlieute=nants	w7201
<g/>
=
<g/>
.
Zur	w7204
rechten	w7205
Seite	w7206
ritten	w7207
Se	w7208
<g/>
.
Excel=lenz	w7210
<g/>
=
<g/>
,
der	w7213
Hr	w7214
<g/>
.
Oberkammerherr	w7216
<g/>
,
und	w7218
zur	w7219
lin=ken	w7220
<g/>
=
Se	w7222
<g/>
.
Excellenz	w7224
der	w7225
Hr	w7226
<g/>
.
Oberstallmeister	w7228
<g/>
.
46	w7230
<g/>
)
Jhro	w7232
Majestät	w7233
<g/>
,
der	w7235
verwittibten	w7236
Köni=gin	w7237
<g/>
=
Sophia	w7239
Magdalena	w7240
Trauerwagen	w7241
<g/>
;
vor=an	w7243
<g/>
=
und	w7245
zu	w7246
den	w7247
Seiten	w7248
12	w7249
<g/>
.
Personen	w7251
von	w7252
kö=nigl	w7253
<g/>
=
<g/>
.
Liberey	w7256
mit	w7257
Fackeln	w7258
<g/>
.
47	w7260
<g/>
)
Sr	w7262
<g/>
.
Königl	w7264
<g/>
.
Hoheit	w7266
des	w7267
Prinzen	w7268
Friderichs	w7269
Trauerwa=gen	w7270
<g/>
=
<g/>
.
Zu	w7273
den	w7274
Seiten	w7275
ritten	w7276
der	w7277
Hr	w7278
<g/>
.
gehei=me	w7280
<g/>
=
Rath	w7282
<g/>
,
Graf	w7284
Scheel	w7285
<g/>
,
und	w7287
der	w7288
Hr	w7289
<g/>
.
Mar=schall	w7291
<g/>
=
v	w7293
<g/>
.
Ranzau	w7295
<g/>
.
Voran	w7297
ritten	w7298
Kammerpa=gen	w7299
<g/>
=
<g/>
,
und	w7302
giengen	w7303
8	w7304
<g/>
.
Libereybediente	w7306
mit	w7307
Fa=ckeln	w7308
<g/>
=
<g/>
.
48	w7311
<g/>
.
49	w7313
<g/>
.
und	w7315
50	w7316
<g/>
)
Jhro	w7318
Königl	w7319
<g/>
.
Ho=heiten	w7321
<g/>
=
<g/>
,
der	w7324
Kronprinzeßin	w7325
<g/>
,
der	w7327
Prinzeßin	w7328
</p>
<p id="p65">
Louise	w7331
und	w7332
der	w7333
Prinzeßin	w7334
Charlotta	w7335
Amalia	w7336
Trauerwägen	w7337
<g/>
.
Vor	w7339
jedem	w7340
derselben	w7341
giengen	w7342
8	w7343
<g/>
.
Libereybediente	w7345
mit	w7346
Fackeln	w7347
<g/>
.
51	w7349
<g/>
)
End=lich	w7351
<g/>
=
schloß	w7353
den	w7354
Zug	w7355
ein	w7356
Eskadron	w7357
von	w7358
der	w7359
Leibgarde	w7360
zu	w7361
Pferde	w7362
<g/>
.
</p>
<p id="p66">
Diese	w7364
Proceßion	w7365
gieng	w7366
solchergestalt	w7367
unter	w7368
gedämpftem	w7369
Tone	w7370
von	w7371
Paucken	w7372
und	w7373
Trom=peten	w7374
<g/>
=
von	w7376
dem	w7377
Schloß	w7378
aus	w7379
<g/>
,
über	w7381
der	w7382
Stadt	w7383
vornehmsten	w7384
Plätze	w7385
und	w7386
Gassen	w7387
<g/>
,
wo	w7389
die	w7390
auf=gestellten	w7391
<g/>
=
Posten	w7393
der	w7394
Bürgerschaft	w7395
<g/>
,
Garni=son	w7397
<g/>
=
ꝛc	w7399
<g/>
.
die	w7401
Trommel	w7402
mit	w7403
gedämpftem	w7404
Lau=te	w7405
<g/>
=
<g/>
,
bis	w7408
die	w7409
königlichen	w7410
Leiche	w7411
und	w7412
die	w7413
kö=nigl	w7414
<g/>
=
<g/>
.
Personen	w7417
vorüber	w7418
waren	w7419
<g/>
,
rührten	w7421
<g/>
,
durch	w7423
das	w7424
Westerthor	w7425
hindurch	w7426
<g/>
,
bis	w7428
zu	w7429
dem	w7430
soge=nannten	w7431
<g/>
=
Königsthore	w7433
<g/>
,
wo	w7435
die	w7436
Proceßion	w7437
eben	w7438
vor	w7439
Mitternacht	w7440
anlangte	w7441
<g/>
.
Hier	w7443
begab	w7444
sich	w7445
die	w7446
Proceßion	w7447
auseinander	w7448
<g/>
:
Die	w7450
reitende	w7451
Truppe	w7452
<g/>
,
Renteschreiber	w7454
<g/>
,
Pagen	w7456
<g/>
,
Trompeter	w7458
<g/>
,
und	w7460
diejenigen	w7461
<g/>
,
welche	w7463
die	w7464
Fahnen	w7465
und	w7466
Pro=vinzpferde	w7467
<g/>
=
führten	w7469
<g/>
,
wendeten	w7471
sich	w7472
ab	w7473
in	w7474
die	w7475
Allen	w7476
<g/>
,
anstatt	w7478
daß	w7479
das	w7480
fahrende	w7481
Gefolge	w7482
auf	w7483
dem	w7484
Wege	w7485
blieb	w7486
<g/>
.
Der	w7488
fürstlichen	w7489
Personen	w7490
und	w7491
königl	w7492
<g/>
.
Minister	w7494
Wägen	w7495
beobachtete	w7496
die	w7497
vorige	w7498
Ordnung	w7499
nicht	w7500
eher	w7501
wieder	w7502
<g/>
,
als	w7504
bis	w7505
sie	w7506
den	w7507
19ten	w7508
<g/>
,
Morgens	w7510
<g/>
,
in	w7512
Rothschild	w7513
an=kamen	w7514
<g/>
=
<g/>
,
wohin	w7517
sich	w7518
auch	w7519
Se	w7520
<g/>
.
Majestät	w7522
der	w7523
König	w7524
begaben	w7525
<g/>
,
und	w7527
wurde	w7528
daselbst	w7529
noch	w7530
et=was	w7531
<g/>
=
geruhet	w7533
<g/>
.
Die	w7535
königl	w7536
<g/>
.
Leiche	w7538
ward	w7539
in=zwischen	w7540
<g/>
=
von	w7542
30	w7543
<g/>
.
Mann	w7545
Reuterey	w7546
<g/>
,
unter	w7548
Anführung	w7549
eines	w7550
Majors	w7551
und	w7552
eines	w7553
Leute=nants	w7554
<g/>
=
<g/>
,
escortiret	w7557
<g/>
.
Vor	w7559
derselben	w7560
ritten	w7561
24	w7562
<g/>
.
Stallbedienten	w7564
mit	w7565
Lanternen	w7566
und	w7567
Fackeln	w7568
<g/>
.
Unterweges	w7570
ward	w7571
an	w7572
allen	w7573
Orten	w7574
<g/>
,
wo	w7576
man	w7577
die	w7578
Königl	w7579
<g/>
.
Leiche	w7581
von	w7582
den	w7583
Thürmen	w7584
sehen	w7585
konn=te	w7586
<g/>
=
<g/>
,
so	w7589
lange	w7590
man	w7591
dieselbe	w7592
im	w7593
Gesicht	w7594
hatte	w7595
<g/>
,
mit	w7597
den	w7598
Glocken	w7599
geläutet	w7600
<g/>
.
</p>
<p id="p67">
Bemeldeten	w7602
19ten	w7603
<g/>
,
des	w7605
Vormittags	w7606
um	w7607
10	w7608
Uhr	w7609
<g/>
,
paradirte	w7611
die	w7612
ganze	w7613
Bürgerschaft	w7614
in	w7615
Rothschild	w7616
in	w7617
den	w7618
Gassen	w7619
<g/>
,
durch	w7621
welche	w7622
die	w7623
Königl	w7624
Leiche	w7625
zur	w7626
Domkirche	w7627
<g/>
,
unter	w7629
Läutung	w7630
aller	w7631
Glocken	w7632
des	w7633
Orts	w7634
geführet	w7635
wurde	w7636
<g/>
.
Bey	w7638
der	w7639
Domkirche	w7640
hatten	w7641
2	w7642
<g/>
.
Compagnien	w7644
Rei=ter	w7645
<g/>
=
die	w7647
Wache	w7648
<g/>
.
Die	w7650
Proceßion	w7651
geschahe	w7652
in	w7653
derselben	w7654
Ordnung	w7655
<g/>
,
wie	w7657
sie	w7658
des	w7659
Abends	w7660
vor=her	w7661
<g/>
=
hier	w7663
<g/>
,
in	w7665
Copenhagen	w7666
geschehen	w7667
war	w7668
<g/>
,
aus=genommen	w7670
<g/>
=
<g/>
,
daß	w7673
die	w7674
bemeldete	w7675
reitende	w7676
Trupps	w7677
<g/>
,
nebst	w7679
den	w7680
Fahnen	w7681
und	w7682
Pferden	w7683
<g/>
,
die	w7685
sich	w7686
nach	w7687
den	w7688
Alleen	w7689
abgewendet	w7690
hatten	w7691
<g/>
,
nicht	w7693
zugegen	w7694
waren	w7695
<g/>
,
und	w7697
auch	w7698
<g/>
,
weil	w7700
es	w7701
itzo	w7702
Tag	w7703
war	w7704
<g/>
,
keine	w7706
Fackeln	w7707
dabey	w7708
getragen	w7709
wurden	w7710
<g/>
.
</p>
<p id="p68">
Jn	w7712
der	w7713
Domkirche	w7714
empfiengen	w7715
Se	w7716
<g/>
.
Königl	w7718
<g/>
.
Maj	w7720
<g/>
.
und	w7722
das	w7723
anwesende	w7724
Gefolge	w7725
die	w7726
hohe	w7727
Leiche	w7728
<g/>
,
unter	w7730
einer	w7731
Trauermusik	w7732
<g/>
,
welche	w7734
so	w7735
<g/>
.
lange	w7737
<g/>
,
bis	w7739
alles	w7740
vorüber	w7741
war	w7742
<g/>
,
währte	w7744
<g/>
.
Die	w7746
Königl	w7747
<g/>
.
Leiche	w7749
<g/>
,
der	w7751
Himmel	w7752
und	w7753
die	w7754
Zipfel	w7755
des	w7756
Leichentuchs	w7757
wurden	w7758
<g/>
,
wie	w7760
bey	w7761
der	w7762
Austra=gung	w7763
<g/>
=
aus	w7765
der	w7766
Copenhagener	w7767
Schloßkapelle	w7768
<g/>
,
getragen	w7770
<g/>
;
und	w7772
12	w7773
Trabantendienste	w7774
verrich=tende	w7775
<g/>
=
Premier	w7777
<g/>
=
Lieutenants	w7779
giengen	w7780
dabey	w7781
rings	w7782
umher	w7783
<g/>
.
Voran	w7785
traten	w7786
Se	w7787
<g/>
.
Excellenz	w7789
<g/>
,
der	w7791
Hr	w7792
<g/>
.
Ober	w7794
<g/>
=
Hofmarschall	w7796
mit	w7797
dem	w7798
Mar=schallsstabe	w7799
<g/>
=
<g/>
,
und	w7802
auf	w7803
den	w7804
Seiten	w7805
der	w7806
Hr	w7807
<g/>
.
Ober	w7809
<g/>
=
Jägermeister	w7811
<g/>
,
und	w7813
der	w7814
Hr	w7815
<g/>
.
Stiftsamt=mann	w7817
<g/>
=
<g/>
,
Graf	w7820
Knuth	w7821
<g/>
.
</p>
<p id="p69">
Sobald	w7823
die	w7824
königl	w7825
<g/>
.
Leiche	w7827
auf	w7828
die	w7829
erstge=dachte	w7830
<g/>
=
Weise	w7832
Sr	w7833
<g/>
.
Majestät	w7835
dem	w7836
König	w7837
vorü=ber	w7838
<g/>
=
getragen	w7840
war	w7841
<g/>
,
trat	w7843
der	w7844
Herr	w7845
Oberhof=marschall	w7846
<g/>
=
zurück	w7848
<g/>
;
worauf	w7850
der	w7851
König	w7852
selbst	w7853
folgeten	w7854
<g/>
,
und	w7856
alsdann	w7857
kam	w7858
das	w7859
ganze	w7860
Ge=folge	w7861
<g/>
=
<g/>
.
</p>
<p id="p70">
Jn	w7864
dem	w7865
königl	w7866
<g/>
.
Begräbnisse	w7868
waren	w7869
die	w7870
nöthigen	w7871
Leuchter	w7872
<g/>
,
mit	w7874
Flor	w7875
und	w7876
Schildern	w7877
be=hangen	w7878
<g/>
=
<g/>
;
und	w7881
da	w7882
wurde	w7883
nun	w7884
die	w7885
Königl	w7886
<g/>
.
Lei=che	w7888
<g/>
=
auf	w7890
eine	w7891
mit	w7892
Kronen	w7893
bordirte	w7894
<g/>
,
und	w7896
mit	w7897
silbernen	w7898
Franzen	w7899
besetzte	w7900
sammetene	w7901
Decke	w7902
niedergesetzt	w7903
<g/>
.
</p>
<p id="p71">
<g/>
(
Das	w7906
Uebrige	w7907
künftig	w7908
<g/>
.
<g/>
)
</p>
<p id="p72">
Wir	w7911
Burgermeister	w7912
und	w7913
Rath	w7914
der	w7915
Stadt	w7916
Wien	w7917
<g/>
,
geben	w7919
hiemit	w7920
durch	w7921
dieses	w7922
offene	w7923
Edict	w7924
jedermän=niglich	w7925
<g/>
=
zu	w7927
vernehmen	w7928
<g/>
,
wasgestalten	w7930
wir	w7931
über	w7932
fer=ner	w7933
<g/>
=
schriftlich	w7935
beschehenes	w7936
Anlangen	w7937
und	w7938
dienst	w7939
<g/>
.
Bitten	w7941
Hrn	w7942
<g/>
.
Franz	w7944
Joseph	w7945
Seeger	w7946
J	w7947
<g/>
.
U	w7949
<g/>
.
D	w7951
als	w7952
gerichtl	w7953
<g/>
.
aufgestellt	w7955
<g/>
=
Horwartischen	w7957
Curatoris	w7958
ad	w7959
actum	w7960
unterm	w7961
15	w7962
<g/>
.
März	w7964
in	w7965
ein	w7966
nochmaliges	w7967
Lici=tationsedict	w7968
<g/>
=
jedoch	w7970
mit	w7971
Präsigirung	w7972
eines	w7973
14	w7974
<g/>
.
tä=gegen	w7976
<g/>
=
Termins	w7978
<g/>
)
gewilliget	w7980
<g/>
,
und	w7982
verordnet	w7983
haben	w7984
<g/>
,
daß	w7986
die	w7987
Horwartische	w7988
in	w7989
der	w7990
Leopoldstadt	w7991
ligende	w7992
zwey	w7993
Häuser	w7994
<g/>
,
das	w7996
eine	w7997
in	w7998
der	w7999
Sterngassen	w8000
<g/>
,
das	w8002
an=dere	w8003
<g/>
=
in	w8005
der	w8006
Fuhrmannsgassen	w8007
<g/>
,
samt	w8009
Garten	w8010
<g/>
,
noch=malen	w8012
<g/>
=
offentlich	w8014
ausgefeilet	w8015
<g/>
,
und	w8017
dem	w8018
Meistbieten=den	w8019
<g/>
=
verkaufet	w8021
werden	w8022
sollen	w8023
<g/>
,
da	w8025
an	w8026
hierin	w8027
der	w8028
19	w8029
<g/>
.
Monatstag	w8031
April	w8032
laufenden	w8033
1766sten	w8034
Jahrs	w8035
zur	w8036
Tagsatzung	w8037
bestimmet	w8038
worden	w8039
ist	w8040
<g/>
,
als	w8042
wird	w8043
ein	w8044
solches	w8045
hiemit	w8046
jedermann	w8047
<g/>
,
wer	w8049
etwann	w8050
diese	w8051
Häu=ser	w8052
<g/>
=
samt	w8054
Garten	w8055
käufl	w8056
<g/>
.
an	w8058
sich	w8059
zu	w8060
bringen	w8061
gesinnet	w8062
ist	w8063
<g/>
,
mit	w8065
diesem	w8066
Edict	w8067
zu	w8068
dem	w8069
Ende	w8070
kund	w8071
und	w8072
zu	w8073
wissen	w8074
gemacht	w8075
<g/>
,
damit	w8077
ein	w8078
sich	w8079
hervorthuender	w8080
Kaufer	w8081
bey	w8082
obbemelt	w8083
<g/>
=
bestimmten	w8085
Licitationstag=satzung	w8086
<g/>
=
fruhe	w8088
um	w8089
9	w8090
<g/>
.
Uhr	w8092
<g/>
,
oder	w8094
da	w8095
wir	w8096
selbigen	w8097
Tags	w8098
etwann	w8099
anderer	w8100
Geschäften	w8101
halber	w8102
nicht	w8103
zu	w8104
Rath	w8105
sitzeten	w8106
<g/>
,
den	w8108
nächst	w8109
darauf	w8110
folgenden	w8111
Rathstag	w8112
vor	w8113
uns	w8114
zu	w8115
erscheinen	w8116
<g/>
,
und	w8118
sich	w8119
bey	w8120
unser	w8121
und	w8122
Ge Gemeiner	w8123
<g/>
=
</p>
<p id="p73">
meiner	w8126
Stadt	w8127
Pupillenraitkammer	w8128
<g/>
,
durch	w8130
den	w8131
da=selbstigen	w8132
<g/>
=
Amtsschreiber	w8134
anmelden	w8135
lassen	w8136
möge	w8137
<g/>
,
allwo	w8139
sodann	w8140
das	w8141
Weitere	w8142
behörig	w8143
tractiret	w8144
werden	w8145
solle	w8146
<g/>
.
</p>
<p id="p74">
Von	w8148
des	w8149
Hochfürstl	w8150
<g/>
.
Erzbistums	w8152
wienerischen	w8153
Gerichts	w8154
wegen	w8155
<g/>
,
wird	w8157
durch	w8158
gegenwärtig	w8159
offenes	w8160
Edict	w8161
jedermänniglich	w8162
<g/>
,
sowohl	w8164
An	w8165
<g/>
=
als	w8167
Abwesen=den	w8168
<g/>
=
<g/>
,
deme	w8171
daran	w8172
gelegen	w8173
<g/>
,
kund	w8175
und	w8176
zu	w8177
wissen	w8178
ge=macht	w8179
<g/>
=
<g/>
:
Es	w8182
habe	w8183
dasselbe	w8184
nothwendig	w8185
zu	w8186
seyn	w8187
be=funden	w8188
<g/>
=
über	w8190
des	w8191
Peter	w8192
Lienhard	w8193
Müllnermeisters	w8194
zu	w8195
Möllerstorf	w8196
ad	w8197
Cridam	w8198
gediehene	w8199
Vermögen	w8200
ei=nen	w8201
<g/>
=
ordentlichen	w8203
Concurs	w8204
anzuordnen	w8205
<g/>
,
und	w8207
dessen	w8208
sammentliche	w8209
sowol	w8210
in	w8211
<g/>
=
als	w8213
ausser	w8214
Land	w8215
befindliche	w8216
Glaubigere	w8217
zur	w8218
Anmeld	w8219
<g/>
=
und	w8221
zugleich	w8222
Liquidirung	w8223
ihrer	w8224
an	w8225
erstermelten	w8226
Peter	w8227
Lienhard	w8228
zu	w8229
stellen	w8230
ha=bender	w8231
<g/>
=
Sprüchen	w8233
und	w8234
Forderungen	w8235
einzuberuffen	w8236
<g/>
,
zu	w8238
welchem	w8239
Ende	w8240
der	w8241
27	w8242
<g/>
.
des	w8244
künftigen	w8245
Monats	w8246
May	w8247
fruhe	w8248
um	w8249
8	w8250
<g/>
.
Uhr	w8252
zur	w8253
gewönlichen	w8254
Tagsatzung	w8255
für	w8256
die	w8257
erst	w8258
<g/>
=
andert	w8260
<g/>
=
und	w8262
dritte	w8263
<g/>
,
auch	w8265
allendliche	w8266
Frist	w8267
sub	w8268
clausula	w8269
præclusi praeclusi	w8270
anberaumet	w8271
worden	w8272
<g/>
.
Solchemnach	w8274
werden	w8275
alle	w8276
und	w8277
jede	w8278
<g/>
,
welche	w8280
an	w8281
ob=erwehnten	w8282
<g/>
=
Peter	w8284
Lienhard	w8285
ex	w8286
quacunque	w8287
causa	w8288
vel	w8289
titulo	w8290
Sprüche	w8291
und	w8292
Anforderungen	w8293
haben	w8294
<g/>
,
oder	w8296
zu	w8297
haben	w8298
vermeinen	w8299
<g/>
,
an	w8301
obbestimmten	w8302
Tag	w8303
und	w8304
Stund	w8305
in	w8306
des	w8307
Hochfürstl	w8308
<g/>
.
Erzbistums	w8310
Wien	w8311
Hof=meisteramte	w8312
<g/>
=
allhier	w8314
entweders	w8315
selbst	w8316
persönlich	w8317
<g/>
,
oder	w8319
durch	w8320
hierzu	w8321
genugsam	w8322
gevollmächtigte	w8323
Ge=walttragere	w8324
<g/>
=
alsogewiß	w8326
zu	w8327
erscheinen	w8328
<g/>
,
ihre	w8330
etwann	w8331
habende	w8332
Sprüche	w8333
und	w8334
Anforderungen	w8335
nebst	w8336
Mit=bringung	w8337
<g/>
=
der	w8339
diesfällig	w8340
<g/>
=
und	w8342
zugleich	w8343
auf	w8344
behöri=gen	w8345
<g/>
=
Stempelpapier	w8347
in	w8348
glaubwürdigen	w8349
Abschriften	w8350
einzulegen	w8351
kommenden	w8352
Liquidations	w8353
<g/>
=
und	w8355
respect	w8356
<g/>
.
Legitimationsdocumenten	w8358
gehörig	w8359
anzumelden	w8360
ha=ben	w8361
<g/>
=
<g/>
,
wie	w8364
im	w8365
widrigen	w8366
die	w8367
nicht	w8368
erscheinend	w8369
<g/>
=
Lien=hardische	w8371
<g/>
=
Glaubigere	w8373
von	w8374
sothaner	w8375
Concursmassa	w8376
gänzlichen	w8377
ausgeschlossen	w8378
<g/>
,
und	w8380
denenselben	w8381
das	w8382
ewige	w8383
Stillschweigen	w8384
auferlegt	w8385
<g/>
,
die	w8387
nicht	w8388
rechtl	w8389
<g/>
.
Liquidirend	w8391
<g/>
=
oder	w8393
sich	w8394
nicht	w8395
genugsam	w8396
Legitimi=rende	w8397
<g/>
=
hingegen	w8399
abgewiesen	w8400
werden	w8401
sollen	w8402
<g/>
.
Wornach	w8404
sich	w8405
ein	w8406
jeder	w8407
<g/>
,
deme	w8409
daran	w8410
gelegen	w8411
<g/>
,
zu	w8413
richten	w8414
<g/>
,
und	w8416
seinem	w8417
Recht	w8418
bestens	w8419
zu	w8420
invigiliren	w8421
wissen	w8422
wird	w8423
<g/>
.
</p>
<p id="p75">
Wir	w8425
Burgermeister	w8426
und	w8427
Rath	w8428
der	w8429
Stadt	w8430
Wien	w8431
<g/>
,
geben	w8433
den	w8434
Erben	w8435
und	w8436
nächsten	w8437
Anverwandten	w8438
der	w8439
weil	w8440
<g/>
.
Theresia	w8442
Herlin	w8443
<g/>
,
verwittibt	w8445
gewesenen	w8446
Land=schulmeisterin	w8447
<g/>
=
hiemit	w8449
zu	w8450
vernehmen	w8451
<g/>
:
Es	w8453
wäre	w8454
ebenbesagte	w8455
Herlin	w8456
bereits	w8457
unterm	w8458
26	w8459
<g/>
.
April	w8461
1764	w8462
<g/>
.
ohne	w8464
Zurucklassung	w8465
einer	w8466
letztwilligen	w8467
Verordnung	w8468
allhier	w8469
verstorben	w8470
<g/>
;
da	w8472
nun	w8473
von	w8474
ihren	w8475
Erben	w8476
und	w8477
nächsten	w8478
Anverwandten	w8479
eigentlich	w8480
nichts	w8481
kann	w8482
in	w8483
Erfahrung	w8484
gebracht	w8485
werden	w8486
<g/>
,
so	w8488
ist	w8489
für	w8490
nöthig	w8491
be=funden	w8492
<g/>
=
worden	w8494
<g/>
,
dieselben	w8496
durch	w8497
ein	w8498
öffentliches	w8499
Valvaledict	w8500
zu	w8501
Richtigstellung	w8502
der	w8503
diesseitigen	w8504
Ver=lassenschaftsabhandlung	w8505
<g/>
=
einzuberufen	w8507
<g/>
.
Es	w8509
haben	w8510
dahero	w8511
alle	w8512
diejenigen	w8513
<g/>
,
welche	w8515
zu	w8516
obgedachter	w8517
Her=lischen	w8518
<g/>
=
Verlassenschaft	w8520
als	w8521
rechtmäßige	w8522
Erben	w8523
und	w8524
nächste	w8525
Anverwandten	w8526
sich	w8527
zu	w8528
legitimiren	w8529
vermögen	w8530
<g/>
,
auf	w8532
den	w8533
4	w8534
<g/>
.
künftigen	w8536
Monats	w8537
Junii	w8538
dies	w8539
Jahrs	w8540
bey	w8541
</p>
<p id="p76">
unser	w8542
und	w8543
gemeiner	w8544
Stadt	w8545
Pupillenraitkammer	w8546
entweder	w8547
persönlich	w8548
selbst	w8549
<g/>
,
oder	w8551
durch	w8552
einen	w8553
hierzu	w8554
hinlänglich	w8555
bevollmächtigten	w8556
Gewalthabere	w8557
sich	w8558
also=gewiß	w8559
<g/>
=
anzumelden	w8561
<g/>
,
und	w8563
behörig	w8564
zu	w8565
legitimiren	w8566
<g/>
,
wie	w8568
im	w8569
widrigen	w8570
<g/>
,
was	w8572
Rechtens	w8573
ist	w8574
<g/>
,
fürgekehret	w8576
<g/>
,
und	w8578
die	w8579
Verlassenschaft	w8580
dem	w8581
uxorio	w8582
und	w8583
manda-tario	w8584
<g/>
-
nomine	w8586
darum	w8587
supplicirenden	w8588
Franz	w8589
Serin	w8590
ohne	w8591
weitern	w8592
Rucksicht	w8593
auf	w8594
dieselben	w8595
eingeantwor=tet	w8596
<g/>
=
werden	w8598
solle	w8599
<g/>
.
Welches	w8601
man	w8602
durch	w8603
dieses	w8604
ofene	w8605
Edict	w8606
hiemit	w8607
kund	w8608
und	w8609
zu	w8610
wissen	w8611
machen	w8612
wollen	w8613
<g/>
.
</p>
<p id="p77">
Von	w8615
der	w8616
gräflich	w8617
Wallseggischen	w8618
Herrschaft	w8619
Schottwien	w8620
aufgestellten	w8621
Judicii	w8622
Delegati	w8623
wegen	w8624
<g/>
,
wird	w8626
all	w8627
und	w8628
jeden	w8629
<g/>
,
so	w8631
an	w8632
des	w8633
weil	w8634
<g/>
.
Hrn	w8636
<g/>
.
Franz	w8638
Gottlieb	w8639
Wibmer	w8640
<g/>
,
K	w8642
<g/>
.
K	w8644
<g/>
.
Gränitzmautheinnehmer	w8646
<g/>
,
und	w8648
behausten	w8649
Burger	w8650
des	w8651
Hochgräfl	w8652
<g/>
.
Wahlseggi=schen	w8654
<g/>
=
Markts	w8656
Schottwien	w8657
seel	w8658
<g/>
.
hinterlassenen	w8660
Ver=mögen	w8661
<g/>
=
einige	w8663
Sprüche	w8664
und	w8665
Anforderungen	w8666
haben	w8667
<g/>
,
oder	w8669
zu	w8670
haben	w8671
vermeinen	w8672
<g/>
,
durch	w8674
dieses	w8675
offene	w8676
Edict	w8677
kund	w8678
und	w8679
zu	w8680
wissen	w8681
gemacht	w8682
<g/>
:
Es	w8684
habe	w8685
die	w8686
Noth=durft	w8687
<g/>
=
erheischet	w8689
<g/>
,
über	w8691
des	w8692
ersagten	w8693
zu	w8694
Schottwien	w8695
mit	w8696
Hinterlassung	w8697
vieler	w8698
Schulden	w8699
verstorbenen	w8700
K	w8701
<g/>
.
K	w8703
<g/>
.
Gränitzmautheinnehmers	w8705
<g/>
,
und	w8707
behausten	w8708
Bur=gers	w8709
<g/>
=
<g/>
,
Hrn	w8712
<g/>
.
Franz	w8714
Gottlieb	w8715
Wibmer	w8716
seel	w8717
<g/>
.
ad	w8719
Cridam	w8720
gediehene	w8721
Verlassenschaft	w8722
ein	w8723
ordentliche	w8724
Concurs=handlung	w8725
<g/>
=
anzuordnen	w8727
<g/>
,
und	w8729
zu	w8730
dem	w8731
Ende	w8732
alle	w8733
so=wohl	w8734
<g/>
=
in	w8736
<g/>
=
als	w8738
ausser	w8739
Land	w8740
befindliche	w8741
Creditores	w8742
per	w8743
Edicta	w8744
ad	w8745
Valvas	w8746
ad	w8747
liquidandum	w8748
sub	w8749
clausula	w8750
præclusi praeclusi	w8751
einzuberuffen	w8752
<g/>
,
annebens	w8754
auch	w8755
dessen	w8756
sam=mentliches	w8757
<g/>
=
Verlassenschaftsvermögen	w8759
<g/>
,
bestehend	w8761
in	w8762
einem	w8763
Haus	w8764
<g/>
,
so	w8766
ein	w8767
Viertl	w8768
Lehen	w8769
in	w8770
dem	w8771
Hochgräfl	w8772
<g/>
.
Wahlseggischen	w8774
Markt	w8775
Schottwien	w8776
<g/>
,
samt	w8778
Haus=äckerl	w8779
<g/>
=
<g/>
,
Tisch	w8782
<g/>
,
Kästen	w8784
<g/>
,
Bethstätte	w8786
<g/>
,
Bethgewand	w8788
<g/>
,
Leinwäsch	w8790
<g/>
,
Bilder	w8792
<g/>
,
und	w8794
andere	w8795
Geräthschaften	w8796
li=citando	w8797
<g/>
=
zu	w8799
verkauffen	w8800
<g/>
;
Da	w8802
nun	w8803
auf	w8804
Anlangen	w8805
des	w8806
gerichtl	w8807
