<doc id="edoc_wd_1726-09-07" attrs="word" year="1726" month="09" day="07" corpus="1">
<head id="hl1">
Copia	w54
<p id="p125">
26ten	w7138
Beutel	w7139
<g/>
.
</p>
<p id="p126">
Hr	w7141
<g/>
.
Obrist	w7143
<g/>
=
Jäger	w7145
<g/>
=
Meister	w7147
<g/>
/
ꝛc	w7149
<g/>
.
</p>
<p id="p127">
27ten	w7151
Beutel	w7152
<g/>
.
</p>
<p id="p128">
Hr	w7154
<g/>
.
Carl	w7156
Graf	w7157
von	w7158
Zichy	w7159
<g/>
/
ꝛc	w7161
<g/>
.
</p>
<p id="p129">
28ten	w7163
Beutel	w7164
<g/>
.
</p>
<p id="p130">
Jhre	w7166
Durchl	w7167
<g/>
.
Ertz	w7169
<g/>
=
Hertzogin	w7171
M	w7172
<g/>
.
Magdalena	w7174
<g/>
.
</p>
<p id="p131">
29ten	w7176
Beutel	w7177
<g/>
.
</p>
<p id="p132">
Hr	w7179
<g/>
.
Carl	w7181
Anton	w7182
Graf	w7183
v	w7184
<g/>
.
Harrach	w7186
<g/>
/
ꝛc	w7188
<g/>
.
</p>
<p id="p133">
30ten	w7190
Beutel	w7191
<g/>
.
</p>
<p id="p134">
Se	w7193
<g/>
.
Excell	w7195
<g/>
.
Hr	w7197
<g/>
.
Gund	w7199
<g/>
.
Graf	w7201
von	w7202
Althann	w7203
<g/>
/
ꝛc	w7205
<g/>
.
</p>
<p id="p135">
31ten	w7207
Beutel	w7208
<g/>
.
</p>
<p id="p136">
Hr	w7210
<g/>
.
Graf	w7212
von	w7213
Korzensky	w7214
<g/>
/
ꝛc	w7216
<g/>
.
</p>
<p id="p137">
32ten	w7218
Beutel	w7219
<g/>
.
</p>
<p id="p138">
Jhre	w7221
Durchl	w7222
<g/>
.
Ertz	w7224
<g/>
=
Hertzogin	w7226
Maria	w7227
Theresia	w7228
<g/>
/
durch	w7230
Se	w7231
<g/>
.
Excell	w7233
<g/>
.
Hrn	w7235
<g/>
.
Obrist	w7237
<g/>
=
Cammerer	w7239
Gr	w7240
<g/>
.
von	w7242
Cobentzl	w7243
<g/>
/
ꝛc	w7245
<g/>
.
</p>
<p id="p139">
33ten	w7247
Beutel	w7248
<g/>
.
</p>
<p id="p140">
Se	w7250
<g/>
.
Excell	w7252
<g/>
.
Hr	w7254
<g/>
.
Graf	w7256
von	w7257
Salm	w7258
<g/>
/
ꝛc	w7260
<g/>
.
für	w7262
Se	w7263
<g/>
.
Excell	w7265
<g/>
.
Hrn	w7267
<g/>
.
Vice	w7269
-Statthalter	w7270
<g/>
/
ꝛc	w7272
<g/>
.
</p>
<p id="p141">
34ten	w7274
Beutel	w7275
<g/>
.
</p>
<p id="p142">
Jhre	w7277
Majestät	w7278
die	w7279
Kaiserin	w7280
<g/>
.
</p>
<p id="p143">
35ten	w7282
Beutel	w7283
<g/>
.
</p>
<p id="p144">
Hr	w7285
<g/>
.
Anton	w7287
Michael	w7288
Graf	w7289
von	w7290
Althann	w7291
<g/>
/
ꝛc	w7293
<g/>
.
</p>
<p id="p145">
36ten	w7295
Beutel	w7296
<g/>
.
</p>
<p id="p146">
Jhre	w7298
Durchl	w7299
<g/>
.
Hr	w7301
<g/>
.
Erb	w7303
<g/>
=
Printz	w7305
zu	w7306
Lothringen	w7307
<g/>
/
ꝛc	w7309
<g/>
.
</p>
<p id="p147">
37ten	w7311
Beutel	w7312
<g/>
.
</p>
<p id="p148">
Se	w7314
<g/>
.
Fürstl	w7316
<g/>
.
Gnaden	w7318
von	w7319
Schwartzenberg	w7320
<g/>
/
ꝛc	w7322
<g/>
.
für	w7324
Se	w7325
<g/>
.
Excell	w7327
<g/>
.
Hrn	w7329
<g/>
.
Vice	w7331
-Statthalter	w7332
<g/>
/
ꝛc	w7334
<g/>
.
</p>
<p id="p149">
38ten	w7336
Beutel	w7337
<g/>
.
</p>
<p id="p150">
Se	w7339
Excell	w7340
<g/>
.
Hr	w7342
<g/>
.
Graf	w7344
von	w7345
Salm	w7346
<g/>
/
ꝛc	w7348
<g/>
.
</p>
<p id="p151">
39ten	w7350
Beutel	w7351
<g/>
.
</p>
<p id="p152">
Hr	w7353
<g/>
.
Graf	w7355
von	w7356
Mollart	w7357
<g/>
/
ꝛc	w7359
<g/>
.
</p>
<p id="p153">
40ten	w7361
Beutel	w7362
<g/>
.
</p>
<p id="p154">
Hr	w7364
<g/>
.
Joh	w7366
<g/>
.
Wilhelm	w7368
Graf	w7369
von	w7370
Sintzendorf	w7371
<g/>
/
ꝛc	w7373
<g/>
.
</p>
<p id="p155">
41ten	w7375
und	w7376
letzten	w7377
Beutel	w7378
<g/>
.
</p>
<p id="p156">
Samt	w7380
letztem	w7381
Haupt	w7382
<g/>
=
Fahn	w7384
<g/>
.
</p>
<p id="p157">
Jhre	w7386
Majestät	w7387
die	w7388
Kaiserin	w7389
<g/>
.
</p>
<p id="p158">
Renn	w7391
<g/>
=
Scheiben	w7393
<g/>
.
</p>
<p id="p159">
Die	w7395
Staats	w7396
<g/>
=
und	w7398
Kriegs	w7399
<g/>
=
Bau	w7401
<g/>
=
Kunst	w7403
<g/>
/
einer	w7405
Seits	w7406
<g/>
/
in	w7408
einem	w7409
sehr	w7410
prächtigen	w7411
aufgeführten	w7412
Ehren	w7413
<g/>
=
Bogen	w7415
und	w7416
ander	w7417
Seits	w7418
<g/>
/
in	w7420
einem	w7421
zur	w7422
Land	w7423
<g/>
=
Wehr	w7425
ange=legten	w7426
<g/>
=
Festungs	w7428
<g/>
=
Bau	w7430
abgebildet	w7431
<g/>
;
zwischen	w7433
beyden	w7434
Ge	w7435
<g/>
=
Bäuden	w7437
ruhet	w7438
auf	w7439
seiner	w7440
Grund	w7441
<g/>
=
Lage	w7443
<g/>
/
der	w7445
mit	w7446
der	w7447
Mauer	w7448
<g/>
=
Cron	w7450
verherrlichte	w7451
<g/>
/
und	w7453
zum	w7454
Ziel	w7455
aufgestellte	w7456
Welt	w7457
<g/>
=
Ball	w7459
<g/>
:
untenher	w7461
ligen	w7462
allerhand	w7463
Grund	w7464
<g/>
=
und	w7466
Ab	w7467
<g/>
=
Riß	w7469
<g/>
/
nebst	w7471
zerschiedenen	w7472
zum	w7473
Graben	w7474
und	w7475
Schantzen	w7476
dienlichen	w7477
Werk	w7478
<g/>
=
Zeugen	w7480
<g/>
;
Jnschrift	w7482
<g/>
:
</p>
<p id="p160">
Weil	w7484
Recht	w7485
und	w7486
Frieden	w7487
sich	w7488
in	w7489
unsern	w7490
Mau=ren	w7491
<g/>
=
küssen	w7493
<g/>
/
</p>
<p id="p161">
Nährt	w7495
sich	w7496
die	w7497
Kunst	w7498
<g/>
/
die	w7500
sonst	w7501
ihr	w7502
Brod	w7503
hat	w7504
betteln	w7505
müssen	w7506
<g/>
.
</p>
<p id="p162">
Stech	w7508
<g/>
=
Scheiben	w7510
<g/>
.
</p>
<p id="p163">
Die	w7512
Bild	w7513
<g/>
=
Hauer	w7515
<g/>
=
Kunst	w7517
<g/>
/
dargestellt	w7519
in	w7520
ihren	w7521
Wunder	w7522
<g/>
=
und	w7524
Meister	w7525
<g/>
=
Stüken	w7527
Marmorner	w7528
Ehren	w7529
<g/>
=
Pfeiler	w7531
und	w7532
Denk	w7533
<g/>
=
Säulen	w7535
<g/>
;
in	w7537
mitten	w7538
derselben	w7539
der	w7540
Bild	w7541
<g/>
=
Hauer	w7543
<g/>
=
Meister	w7545
an	w7546
einem	w7547
aus	w7548
schwartzem	w7549
Marmor	w7550
<g/>
=
Stein	w7552
ge=hauenem	w7553
<g/>
=
<g/>
/
mithin	w7556
zum	w7557
Ziel	w7558
gantz	w7559
schiklichem	w7560
Brust	w7561
<g/>
=
Bilde	w7563
der	w7564
Helden	w7565
noch	w7566
in	w7567
der	w7568
Arbeit	w7569
begriffen	w7570
<g/>
;
zu	w7572
Boden	w7573
herum	w7574
ligen	w7575
zerfallene	w7576
Spitz	w7577
<g/>
=
Säulen	w7579
<g/>
/
Marmor	w7581
<g/>
=
Ge=sichte	w7583
<g/>
=
<g/>
/
und	w7586
Ehren	w7587
<g/>
=
Zeichen	w7589
<g/>
;
Stein	w7591
<g/>
=
Schrift	w7593
<g/>
:
</p>
<p id="p164">
Jch	w7595
bins	w7596
<g/>
/
an	w7598
der	w7599
der	w7600
Held	w7601
sein	w7602
Hertz	w7603
und	w7604
Auge	w7605
weidet	w7606
<g/>
/
</p>
<p id="p165">
Sein	w7608
Bild	w7609
auf	w7610
Säulen	w7611
setzt	w7612
<g/>
/
sein	w7614
Nam	w7615
in	w7616
Marmor	w7617
schneidet	w7618
<g/>
.
</p>
<p id="p166">
Krantz	w7620
<g/>
=
Scheiben	w7622
</p>
<p id="p167">
Die	w7623
Mahler	w7624
<g/>
=
Kunst	w7626
<g/>
/
eröffnet	w7628
<g/>
/
in	w7630
einem	w7631
hell	w7632
<g/>
=
lichten	w7634
Bilder	w7635
<g/>
=
Saal	w7637
<g/>
/
darinnen	w7639
der	w7640
Meister	w7641
das	w7642
Ab	w7643
<g/>
=
Bild	w7645
der	w7646
Tugend	w7647
<g/>
/
ob	w7649
daran	w7650
den	w7651
Anmut	w7652
des	w7653
Gemähldes	w7654
etwann	w7655
nichts	w7656
verstelle	w7657
<g/>
/
betrachtet	w7659
ober	w7660
dem	w7661
Ehren	w7662
<g/>
=
Mahl	w7664
gabe	w7665
der	w7666
mit	w7667
grünen	w7668
Farben	w7669
gemahlte	w7670
Krantz	w7671
das	w7672
Ziel	w7673
ab	w7674
<g/>
:
und	w7676
in	w7677
dem	w7678
Vor	w7679
<g/>
=
Gemach	w7681
kame	w7682
ein	w7683
Lehr	w7684
<g/>
=
Jung	w7686
beym	w7687
Farben	w7688
<g/>
=
Reiben	w7690
<g/>
/
nebst	w7692
anderen	w7693
Kunst	w7694
<g/>
=
Gerähtschaften	w7696
<g/>
/
zum	w7698
Vorschein	w7699
<g/>
;
Sinnschrift	w7701
<g/>
:
</p>
<p id="p168">
Es	w7703
wird	w7704
der	w7705
Mahler	w7706
<g/>
=
Schul	w7708
<g/>
/
die	w7710
man	w7711
hier	w7712
eingeführet	w7713
<g/>
/
</p>
<p id="p169">
Mit	w7715
einer	w7716
Art	w7717
von	w7718
Ruhm	w7719
<g/>
/
die	w7721
nie	w7722
vergehet	w7723
<g/>
/
gezieret	w7725
<g/>
.
</p>
<p id="p170">
Ritter	w7727
Scheiblein	w7728
<g/>
.
</p>
<p id="p171">
Ein	w7730
alberer	w7731
an	w7732
seiner	w7733
bunten	w7734
Narren	w7735
<g/>
=
Tracht	w7737
kennba=rer	w7738
<g/>
=
Stern	w7740
<g/>
=
Deuter	w7742
<g/>
/
welcher	w7744
auf	w7745
seinem	w7746
Esel	w7747
reitend	w7748
<g/>
/
die	w7750
gestirnte	w7751
Himmels	w7752
<g/>
=
Kugel	w7754
in	w7755
der	w7756
Hand	w7757
hat	w7758
<g/>
:
und	w7760
aus	w7761
dem	w7762
über	w7763
ihm	w7764
in	w7765
dem	w7766
Thier	w7767
<g/>
=
Kreis	w7769
erhellenden	w7770
Zeichen	w7771
des	w7772
Schützes	w7773
weissaget	w7774
<g/>
;
Zusatz	w7776
<g/>
:
</p>
<p id="p172">
Eur	w7778
Glük	w7779
und	w7780
Stern	w7781
<g/>
(
ich	w7783
kans	w7784
<g/>
/
Jhr	w7786
Herren	w7787
Schützen	w7788
sehen	w7789
<g/>
)
</p>
<p id="p173">
Wird	w7791
einst	w7792
am	w7793
Himmels	w7794
<g/>
=
Kreis	w7796
<g/>
/
nechst	w7798
bey	w7799
dem	w7800
Schützen	w7801
<g/>
/
stehen	w7803
<g/>
.
</p>
<p id="p174">
Die	w7805
gewöhnliche	w7806
16	w7807
<g/>
.
Estandarten	w7809
oder	w7810
Fahnen	w7811
seynd	w7812
gewesen	w7813
<g/>
/
von	w7815
einem	w7816
hoch	w7817
<g/>
=
grünem	w7819
Gros	w7820
de	w7821
Tour	w7822
<g/>
,
um	w7824
und	w7825
um	w7826
auf	w7827
schmal	w7828
eingesetzten	w7829
roten	w7830
Seiden	w7831
<g/>
=
Zeug	w7833
<g/>
/
die	w7835
5	w7836
<g/>
.
Haupt	w7838
<g/>
=
Fahne	w7840
mit	w7841
silbernen	w7842
<g/>
/
all	w7844
übrige	w7845
aber	w7846
mit	w7847
silber	w7848
<g/>
=
oder	w7850
perlfärbigen	w7851
Seiden	w7852
<g/>
=
Bördlein	w7854
sik	w7855
sak	w7856
gar	w7857
annehmlich	w7858
verbrämt	w7859
<g/>
/
auch	w7861
mit	w7862
dergleichen	w7863
silbernen	w7864
Spitzen	w7865
reichlich	w7866
eingefasset	w7867
<g/>
.
Wiederholte	w7869
5	w7870
<g/>
.
grössere	w7872
<g/>
/
oder	w7874
Haupt	w7875
<g/>
=
Fahne	w7877
waren	w7878
mit	w7879
schön	w7880
eingestikten	w7881
besonde=ren	w7882
<g/>
=
Devisen	w7884
von	w7885
denen	w7886
übrigen	w7887
unterschieden	w7888
<g/>
;
dieStan=gen	w7890
<g/>
=
durchgehends	w7892
von	w7893
schön	w7894
ausgeholter	w7895
Drächsler	w7896
<g/>
=
Arbeit	w7898
grün	w7899
lakirt	w7900
<g/>
/
und	w7902
samt	w7903
denen	w7904
Spitz	w7905
<g/>
=
Crönlein	w7907
fein	w7908
versilbert	w7909
<g/>
/
auch	w7911
darauf	w7912
oberhalb	w7913
deren	w7914
Hand	w7915
<g/>
=
Gefässen	w7917
einer	w7918
Seits	w7919
das	w7920
alt	w7921
<g/>
=
Reichsgräfl	w7923
<g/>
.
Althannische	w7925
<g/>
/
ander	w7927
Seits	w7928
aber	w7929
das	w7930
Geräfl	w7931
<g/>
.
Trautmanstorfische	w7933
Stammens	w7934
<g/>
=
Wappen	w7936
<g/>
/
mit	w7938
Farben	w7939
schön	w7940
angemahlen	w7941
<g/>
.
Die	w7943
Beuteln	w7944
<g/>
=
Anzahl	w7946
von	w7947
Gold	w7948
<g/>
=
und	w7950
Silber	w7951
<g/>
=
Trad	w7953
<g/>
=
Arbeit	w7955
auf	w7956
Pautzer	w7957
<g/>
=
Art	w7959
gemacht	w7960
<g/>
/
theils	w7962
mit	w7963
untermischten	w7964
grün	w7965
<g/>
=
theils	w7967
aber	w7968
Ponson	w7969
<g/>
=
färbigen	w7971
Sammet	w7972
<g/>
=
Streiffen	w7974
auf	w7975
unter=schiedliche	w7976
<g/>
=
curiose	w7978
Façon	w7979
distinguirt	w7980
<g/>
/
und	w7982
mit	w7983
bequem=lichen	w7984
<g/>
=
Gesperrlein	w7986
wohl	w7987
beschlossen	w7988
<g/>
.
</p>
</doc>
